#node time(s) x y
0 0.0 0 0
1 0.0 40 0
2 0.0 80 0
3 0.0 120 0
4 0.0 160 0
5 0.0 200 0
6 0.0 0 40
7 0.0 40 40
8 0.0 80 40
9 0.0 120 40
10 0.0 160 40
11 0.0 200 40
12 0.0 0 80
13 0.0 40 80
14 0.0 80 80
15 0.0 120 80
16 0.0 160 80
17 0.0 200 80
18 0.0 0 120
19 0.0 40 120
20 0.0 80 120
21 0.0 120 120
22 0.0 160 120
23 0.0 200 120
24 0.0 0 160
25 0.0 40 160
26 0.0 80 160
27 0.0 120 160
28 0.0 160 160
29 0.0 200 160
30 0.0 0 200
31 0.0 40 200
32 0.0 80 200
33 0.0 120 200
34 0.0 160 200
35 0.0 200 200
